token_id,name,description,external_url,image,animation_url,item_category,item_compatibility,unlockable_content_link,address
0,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xF23F5D21e1669fa0f09153ae45d547fe20dCFD4a
1,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x4152c497847486c19C0491644c88e927AD0c8D95
2,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x1190DdcB26f38097fd8652082CB7fA283bB3ED94
3,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xb23A5596f4AadC143Ea20f5F3862B4235A1ADA1f
4,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x2628f30d56842E38D19C425ef41c3C13cBA5A756
5,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xb50B8FEb1A3879BDBc5Bbe45D3cAaFe892Bc4484
6,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x073B846439547284f490aE27669E085358c658aE
7,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x7ed6174593d80A17bB9CC6CF2ec6d1e0c126fD79
8,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xa2696250b6a122A9EbDDc39E0699a4Dc0c4bD9Fd
9,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x8C8c9e1E79f790Ec88da25fCa59509E4910FEB67
10,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x1a24F979922cb84CDEbEAfe018a42cB21341E6Ef
11,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xA43196B11a4F5C2EBa3632E18C127bf12E0eF34e
12,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x66816394dF5f69E8B66d5B1e95B0b2F27396e571
13,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x3a37BF9c4880490d22c746167974C41416aFb150
14,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x54b3c8790d8F554Ab71AC201CBE329C8db81010C
15,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x9974D482e06CEc7d872526d5a1CaD6B19d7eE8C1
16,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x3B15bA1D6AA1E11Aa2c99A70ec728124a30F9dbb
17,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x4379F60530Aa805EFba1188ec2b7e01F1D7eA603
18,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xCf545525C1f3995493dd5Ff1d4371175855702A4
19,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xBA9Dd522ad43AC423F802Ef8D60BaCA71A2C237B
20,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x2b2b39f103523cB8DF31F4Ae621EBc4F5efff730
21,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x5FFDfAAafE9d8c87df1dd6b4255e223c01Cf5F02
22,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x13Dc8A9F519dAc9616879cE194c3e54678C68F14
23,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xd3BE501F8566f47a377DB4E15B5560a3c7837348
24,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x0af0412AC0c56A24438e7b19a2C454F96D3Ec8c6
25,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xA0DEE0CF555CE114bA4bA24dCc6d891ae808A5f6
26,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x5D07d8141d6486ca3eE8611822FB181c6fd6860D
27,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x639C2E7ae0266DEe6671CCfd27398aB66609f866
28,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x91107952d9bf6feb7789EcEa379C3bD6e7078042
29,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x2f50E0c6a944Cf7dcF372976E530064513b53768
30,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x5aA8FCd555e7b0e6840D60D007cb75F78C09B3DE
